date,open,high,low,close,volume
23/06/2017,34.5373,35.0204,34.5325,34.811,141757556
26/06/2017,35.0227,35.2869,34.5968,34.7015,102769444
27/06/2017,34.5087,34.7824,34.1779,34.2041,99047564
28/06/2017,34.385,34.7705,34.0685,34.7039,88329728
29/06/2017,34.4373,34.5373,33.8591,34.1922,125997472
30/06/2017,34.3755,34.4968,34.216,34.2731,92096428
03/07/2017,34.4778,34.5777,34.0542,34.1494,57033200
05/07/2017,34.1946,34.4564,33.9646,34.2898,86278228
06/07/2017,34.0352,34.1494,33.89,33.9661,96515128
07/07/2017,34.0066,34.4469,34.0066,34.3112,76806848
10/07/2017,34.2945,34.7324,34.1184,34.5206,84362544
11/07/2017,34.4421,34.7086,34.3588,34.6325,79127344
12/07/2017,34.7134,34.7872,34.4635,34.6824,99537912
13/07/2017,34.6253,35.3369,34.6111,35.1655,100797492
14/07/2017,35.2131,35.5368,35.0608,35.4678,80528244
17/07/2017,35.4154,35.9104,35.3559,35.5915,95173824
18/07/2017,35.5058,35.7272,35.3797,35.7153,71475168
19/07/2017,35.8104,36.0341,35.6843,35.939,83691876
20/07/2017,36.0532,36.1103,35.7414,35.7771,68974992
21/07/2017,35.6938,35.8009,35.4297,35.7605,105010520
24/07/2017,35.8342,36.2769,35.6724,36.1936,85972640
25/07/2017,36.1246,36.61,36.1246,36.3483,75415728
26/07/2017,36.4934,36.6315,36.4244,36.5196,63123804
27/07/2017,36.5886,36.6457,35.0537,35.8295,129905348
28/07/2017,35.67,35.751,35.5035,35.5772,68854612
31/07/2017,35.6724,35.7748,35.2512,35.394,79383680
01/08/2017,35.482,35.7486,35.3178,35.7081,141474580
02/08/2017,37.9046,38.0165,37.1621,37.3954,279747200
03/08/2017,37.3739,37.412,36.8909,37.0217,108389184
04/08/2017,37.1407,37.4572,37.0503,37.2169,82239408
07/08/2017,37.3763,37.819,37.2835,37.7928,87481284
08/08/2017,37.7428,38.5115,37.6643,38.095,144823584
09/08/2017,37.8999,38.3782,37.8642,38.3282,104526120
10/08/2017,38.2065,38.2304,36.9473,37.1122,163217092
11/08/2017,37.418,37.8894,37.2914,37.6283,105028384
14/08/2017,38.0679,38.2806,37.9317,38.1946,88490936
15/08/2017,38.3881,38.7549,38.2639,38.6127,117861948
16/08/2017,38.694,38.8301,38.2662,38.4574,110686448
17/08/2017,38.3547,38.4001,37.7143,37.7191,111762260
18/08/2017,37.7191,38.1109,37.4467,37.6331,109712276
21/08/2017,37.6331,37.7262,37.062,37.5638,105474112
22/08/2017,37.8075,38.2304,37.7573,38.1778,86418340
23/08/2017,38.0082,38.3427,37.9628,38.2256,77596324
24/08/2017,38.3332,38.4072,37.8839,38.056,79275672
25/08/2017,38.1468,38.3642,38.056,38.197,101920252
28/08/2017,38.2639,38.7083,38.2137,38.5816,103863888
29/08/2017,38.2543,38.9759,38.2304,38.9257,118067640
30/08/2017,39.1384,39.1599,38.854,39.0309,109078336
31/08/2017,39.1001,39.3104,39.0619,39.1862,107140384
01/09/2017,39.3773,39.4108,39.0978,39.1981,66364204
05/09/2017,39.1264,39.2459,38.3642,38.7274,118145256
06/09/2017,38.8779,38.9448,38.3547,38.6868,86606904
07/09/2017,38.7298,38.7656,38.3164,38.5315,87714008
08/09/2017,38.4359,38.5052,37.8792,37.9031,114446140
11/09/2017,38.3499,38.7202,38.2041,38.5888,126323192
12/09/2017,38.854,39.1766,37.9365,38.4359,286856184
13/09/2017,38.1993,38.2209,37.731,38.1468,179629444
14/09/2017,37.9891,38.087,37.774,37.8194,95042996
15/09/2017,37.8648,38.4622,37.7525,38.2017,196458408
