date,open,high,low,close,volume
17/08/2017,70.0821,70.3583,68.9582,68.9582,22977519
18/08/2017,68.8344,69.3773,68.5105,69.0439,18761491
21/08/2017,69.0249,69.0344,68.2915,68.7201,17734767
22/08/2017,68.9106,69.7582,68.9106,69.6821,14343674
23/08/2017,69.4916,69.6725,69.082,69.263,13766507
24/08/2017,69.282,69.3963,68.6439,69.2344,17098282
25/08/2017,69.3963,69.863,69.0344,69.3582,12794301
28/08/2017,69.5868,69.6154,69.1011,69.3677,14569715
29/08/2017,68.8153,69.6821,68.6248,69.5773,11478382
30/08/2017,69.5392,70.682,69.3671,70.4916,16897801
31/08/2017,70.5107,71.3965,70.2916,71.2155,27652811
01/09/2017,71.1584,71.1869,70.1392,70.425,21736161
05/09/2017,69.8535,70.3773,69.5106,70.1107,22242384
06/09/2017,70.2345,70.5202,69.863,69.9106,16535785
07/09/2017,70.1773,71.0536,70.1011,70.806,17471200
08/09/2017,70.7964,70.9012,70.3297,70.4631,14703816
11/09/2017,70.7774,71.3822,70.7774,71.206,17910383
12/09/2017,71.206,71.6632,70.8345,71.1298,14394850
13/09/2017,71.3679,71.6536,71.006,71.6346,13380802
14/09/2017,71.4346,71.9013,70.9774,71.2155,15733914
15/09/2017,71.2727,71.806,70.5488,71.7298,38578441
18/09/2017,71.6536,72.3585,71.4727,71.587,23306959
19/09/2017,71.6346,72.1108,71.4441,71.8537,16093344
20/09/2017,71.7679,71.9584,70.7774,71.3774,21587878
21/09/2017,71.5394,71.6632,70.5869,70.6821,19186140
22/09/2017,70.4726,70.9679,70.3392,70.8726,14111365
25/09/2017,70.5678,70.7202,69.4535,69.7773,24149163
26/09/2017,70.1678,70.3012,69.5201,69.7773,18019577
27/09/2017,70.0535,70.644,69.6916,70.3392,19565135
28/09/2017,70.044,70.4535,69.8249,70.3583,10883787
29/09/2017,70.425,70.9917,70.3678,70.9488,17079114
02/10/2017,71.1584,71.4441,70.7631,71.0631,15304762
03/10/2017,71.1203,71.3203,70.6678,70.7298,12190403
04/10/2017,70.4821,71.1679,70.2059,71.1393,13317681
05/10/2017,71.6441,72.5013,71.3965,72.3585,21195261
06/10/2017,72.0727,72.4156,71.9489,72.387,13959814
09/10/2017,72.3585,72.9109,72.2537,72.6633,11386502
10/10/2017,72.7014,72.9871,72.5204,72.6633,13944545
11/10/2017,72.7299,72.8252,72.3394,72.7871,15388898
12/10/2017,72.8537,73.6157,72.7395,73.4538,16876538
13/10/2017,73.9015,74.1681,73.6157,73.8062,15335742
16/10/2017,73.7395,74.111,73.6729,73.9586,12380093
17/10/2017,73.7872,73.93,73.5776,73.9015,16823989
18/10/2017,73.9777,74.1491,73.6919,73.9205,13300701
19/10/2017,73.8824,74.2253,73.6729,74.2062,15092758
20/10/2017,74.5968,75.2159,74.5015,75.0635,22866426
23/10/2017,75.2349,75.5683,75.0158,75.0825,20627173
24/10/2017,75.1492,75.4349,74.7301,75.1111,17517182
25/10/2017,74.8444,75.3397,74.3015,74.892,20410808
26/10/2017,75.4349,75.6445,75.0063,75.0158,32120717
27/10/2017,80.3591,82.1021,79.6353,79.8258,71066729
30/10/2017,79.721,80.3163,79.1543,79.902,31756653
31/10/2017,80.3496,80.3496,79.159,79.2257,27086575
01/11/2017,79.7019,79.7781,78.94,79.2257,22307371
02/11/2017,79.3876,80.4449,79.1686,80.0544,23992945
03/11/2017,80.0829,80.5211,79.4353,80.1401,17633543
06/11/2017,80.1972,80.6735,80.0853,80.4544,19860852
07/11/2017,80.7401,80.8639,79.9401,80.2639,17939727
